"* Required Fields","* الحقول المطلوبة"
"<strong class=""pic-cart""></strong><strong>Shopping Cart</strong><span>(0 items)</span>","<strong class=""pic-cart""><strong>سلّة التسوق&nbsp;</strong></strong><span>(0 منتج)</span>"
"Orders and Returns","الطلب و الارجاع"
"Menu","القائمة"
"Enter your coupon code here.","أدخل رمز الكوبون هنا."
"Unit Price:","سعر القطعة:"
"Subtotal:","المجموع الكلي:"
"Please wait ...","الرجاء الانتظار"
"Quick View","مشاهدة سريعة"
"Please enter your email address below. You will receive a link to reset your password.","ادخل عنوان البريد الالكتوني هنا. ستتلقى بريداً يحتوي على رابط استرجاع كلمة المرور."
"If there is an account associated with %s you will receive an email with a link to reset your password.","اذا كان هنالك حساب مرتبط بالبريد الالكتروني التالي %s ستصلك رسالة فيها رابط لاسترجاع كلمة المرور."
"%s was added to your shopping cart.","'%s' أضيف الى سلّة التسوق."
"There is already an account with this email address. If you are sure that it is your email address, <a href=%s>click here<a> to get your password and access your account.","هنالك حساب مسجل بالبريد الالكتروني الذي ادخلته , اذا اردت استرجاع حسابك <a href=%s>اضغط هنا<a> لاسترجاعه. "
"You are now logged out","سيتم تسجيل خروجك"
"You have logged out and will be redirected to our homepage in 5 seconds.","سيتم تحويلك الى الصفحة الرئيسة بعد خمس ثوانِ."
"Categories","تصنيفات"
"Sign Up for Newsletter","سجل في نشرتنا الاخبارية"
"You are currently not subscribed to any newsletter.","أنت غير مسجل في أي نشرة إخبارية"
"Sort By","رتب حسب"
"Next","التالي"
"Product Details and Comment","معلومات المنتج و التعليقات"
"Sign in with <i class=""fa fa-facebook""></i>","دخول بواسطة <i class=""fa fa-facebook""></i>"
"Sign in with Facebook","دخول بواسطة فيسبوك"
"We<br>Now<br>Ship to<br>","نشحن<br>الآن <br>الى<br>"
"Already have an Account","لديك حساب"
"Signup","اشتراك"
"Forgot Your Password","نسيت كلمة المرور"
