PDF Templates,قوالب PDF
Show 'Shop By' Text,"عرض نص ""تسوق بحسب"""
Show 'Currently Shopping By' Text,"عرض نص ""حاليا تسوق بحسب"""
Mobile Layered Navigation,نسق المتجر على واجهة الجوال
Hide If Body Width Is More Or Equal To,إخفاء إذا كان عرض الصفحة أكثر أو مساوي ل
in pixels. Leave empty to disable mobile layout feature. Note that mobile layout may require theme-related CSS changes.,"بالبيكسل , يترك فارغا ل تعطيل ميزة تنسيق الجوال. الرجاء ملاحظة أن واجهة الجوال قد تحتاج تغيير في ملف التصميم CSS"
Left and Right Column Filters,العامود الأيسر والأيمن للتصفيات
Behavior,سلوك
Effect Duration,مدة التأثير
Initially collapsed; expanded manually,البدء بالتضييق والتوسعة يدويا
Initially expanded; collapsed manually,البدء بالتوسعة والتضييق يدويا
Accordion: one filter expanded at a time,الأكورديون: فتح تصفية واحدة في كل مرة
Leave in columns,تركه في الأعمدة
Move to mobile layered navigation,النقل الى نسق المتجر الخاص بالجوال
Copy to mobile layered navigation,النسخ الى نسق المتجر الخاصة بالجوال
Other Settings,إعدادات أخرى
Adjust Configurable Product Price Filtering,تعديل تصفية السعر الخاصة بمنتج التهيئة
"If enabled, additional price tags of configurable product options are additionally checked","إذا تم تفعيلها , سيتم التحقق من علامات سعر إضافية خاصة بمنتجات التهيئة"
Show 'All' option,"عرض خيار ""الجميع"""
Category Tree,شجرة الفئات
Expand All Tree Items on Initial Page Load,توسعة جميع عناصر الشجرة في تحميل الصفحة الأساسي
Expand Currently Applied Item on Initial Page Load,توسعة العناصر الحالية في تحميل الصفحة الأساسي
Show More Popup,مشاهدة المزيد
Number of Rows in Popup,عدد الصفوف في النافذة
Number of Columns in Popup,عدد الأعمدة في النافذة
Show 'Please Wait',"عرض ""الرجاء الإنتظار"""
Show Network Errors in Frontend,عرض أخطاء الشبكة في الواجهة الأمامية
Colors and Images,ألوان وصور
Width (Picker),"العرض ""منتقي"""
Height (Picker),"الطول ""منتقي"""
Globally Applied Filters,التصفيات المطبقة عالميا
Remember Applied Category Filters,تذكر التصفيات المطبقة على الفئات
Remember Applied Search Filters,تذكر التصفيات المطبقة على البحث
Remember Applied CMS Page Filters,تذكر التصفيات المطبقة على صفحات CMS
"If set, system remembers filters applied to each category so when customer navigates to a category to which he/she had applied filters earlier, those filtered are still applied.","إذا تم تحديدها, النظام سيتذكر التصفيات المطبقة على كل فئة"
"If set, system remembers filters applied on search page so when customer uses search, those filtered are still applied.","إذا تم تحديدها , النظام سيتذكر التصفيات المطبقة على كل صفحة"
Session Settings,إعدادات الSession
Above Products' Filters As Drop Down Menu Options,"تصفيات ""فوق المنتجات"" كخيار قائمة منسدلة"
Min Width,الحد الأدنى للعرض
Max Width,الحد الأقصى للعرض
Show Sliders,عرض السلايدر
Above Products' Filters As Horizontally Laid Filter Options,"تصفيات ""فوق المنتجات"" كخيارات تصفية أفقية"
Minimum Filter Height,الحد الأدنى لطول التصفية
Two Columns Mode Maximum Width,الحد الأقصى لعرض وضعية العامودان
Three Columns Mode Maximum Width,الحد الأقصى لعرض وضعية الثلاث أعمدة
Four Columns Mode Maximum Width,الحد الأقصى لعرض وضعية الأربعة أعمدة
Allow Guest Subscription,السماح للزوار الغير مسجلين بالإشتراك
Enable Automatic Assignment to Customer Group,تفعيل التعيين التلقائي لمجموعات العملاء
Show VAT Number on Frontend,عرض الرقم الضريبي في الواجهة الأمامية
Generate Human-Friendly Customer ID,إنشاء رقم عميل صديق للإنسان
Remind Email Template,قالب رسالة التذكير
Forgot and Remind Email Sender,قالب رسالة فقدان كلمة المرور والتذكير بها
Recovery Link Expiration Period (days),فترة انتهاء صلاحية رابط الاسترداد (بالأيام)
Require admin user to change user password,مطلوب مشرف الموقع لتغيير كلمة السر الخاصة بالمستخدم
Share Options,خيارات المشاركة
My Wishlist Link,رابط قائمة أمنياتي
Display Wishlist Summary,عرض ملخص قائمة الأمنيات
Auto Generated Specific Coupon Codes,إنشاء قصائم خصم تلقائيا
Persistent Shopping Cart,عربة التسوق الثابتة
Enable Persistence,تثبيت عربة التسوق الثابتة
Enable Left Menu,تفعيل القائمة يسار الشاشة
Enable Right Menu,تفعيل القائمة يمين الشاشة
Enable Footer Link,تفعيل رابط التذييل
Enable Top Link,تفعيل الرابط الموجود في الأعلى
Enable Categories Menu,تفعيل قائمة الفئات
RSS Feed,تغذية RSS
Enable Blog RSS Feed,تفعيل تغذية RSS للمدونة
RSS Feed Image,صورة تغذية RSS
RSS Posts to Show,مشاهدة المشاركات في RSS
Number of post to display in the RSS feed.,عدد المشاهدات التي سيتم عرضها في تغذية RSS
"Relative to current skin directory, e.g. images/rsslogo.jpg","مماثل لملف الصور الحالي , على سبيل المثال images/rsslogo.jpg"
ReCAPTCHA,اختبار التحقق ReCAPTCHA
Enable ReCAPTCHA,تفعيل ReCAPTCHA
Go to http://www.google.com/recaptcha/intro/index.html to get keys,الذهاب الى http://www.google.com/recaptcha/intro/index.html  للحصول على المفاتيح
ReCAPTCHA Site Key,مفتاح الموقع (Site key) الخاص بال ReCAPTCHA
ReCAPTCHA Secret Key,المفتاح السري (Secret Key) الخاص بال ReCAPTCHA
Info,معلومات
Stored in the archive,مخزن في الأرشيف
"Keep log for, days","الإحتفاظ بالسجلات لمدة , أيام"
Additional Info,معلومات إضافية
License Certificate Information,معلومات شهادة الترخيص
List of License Certificates,قائمة بشهادات الترخيص
License Key Management,إدارة مفتاح الترخيص
Magestore Extension Key Management,إدارة مفتاح الترخيص الخاص بإضافة ميج ستور
Mega Menu,ميجا مينيو
Enable Mega Menu,تفعيل الميجا مينيو
Menu Effect,تأثير القائمة
Menu Direction,وجهة القائمة
Content Position,موضع المحتوى
Enable Mobile Menu,تفعيل قائمة الجوال
Menu Width,عرض القائمة
"pixel. If it's 0 or empty, the system will set vertical menu: 200px; horizontal menu: default Magento menu width",بالبيكسل إذا كان الحقل صفر أو فارغا النظام سيقوم بتعيين قائمة عامودية
Menu Item Height,إرتفاع عناصر القائمة
"pixel. This is height of a menu item. If it's 0 or empty, the system will set automatically default height is 55px.","بالبيكسل , هذا إرتفاع عناصر القائمة ز إذا كان صفر أو ترك فارغا النظام سيقوم بتحديد الإرتفاع تلقائيا للقيمة الإفتراضية وهي 55px"
Implement Code,الكود الضمني
MageNotification,تنبيهات ميج
Currency Manager,إدارة العملة
Currency Manager information,معلومات مدير العملة
Frontend specific options,خيارات الواجهة الأمامية
Exclude for checkout,إستبعاده في صفحة الدفع
If Yes - options [Precision] and [Replace Zero Price] will not affect display of prices in checkout.,"اذا نعم, الخيارات (الدقة) و (استبدال سعر الصفر) لن تؤثر على عرض السعر في صفحة الدفع"
Admin specific options,خيارات المشرف
Currency options (global),خيارات العملة (عالميا)
Display precision,مشاهدة الدقة
"Number of decimal (e.g. 0, 1, 2). Default: 0","عدد الأعداد العشرية (٠,١,٢,٢) القيمة الإفتراضية هي ٠"
Minimum number of digits after the decimal point,الحد الأقصى لعدد الأرقام بعد الفاصلة العشرية
Cut Zero Decimals,قطع الصفر العشري
Symbol position,موضع رمز العملة
Currency symbol use,إستخدام رمز العملة
Currency options (for specific currency),خيارات العملة (لعملة محددة)
Currency specific options,خيارات محددة للعملات
Add currency specific options,أضافة خيارات العملة المحددة
Account details,تفاصيل الحساب
Subscriber amount to be sent per run,عدد الأشتراكات التي يجب إرسالها في كل مرة
Subscribe On Checkout,الإشتراك في صفحة الدفع
Enable Log,تفعيل السجلات
Hide Customer IP,إخفاء عنوان الIP الخاص بالعميل
Checkout Totals Sort Order,ترتيب إجمالي الطلبات في صفحة الدفع
Fixed Product Tax,ضريبة المنتجات الثابتة
Cash on Delivery fee,قيمة الدفع عند الإستلام
Logo for PDF Print-outs (200x50),شعار المتجر للفواتير المطبوعة (٢٠٠x٥٠)
Minimum Order Amount,أقل مبلغ للطلب
Minimum Amount,أقل مبلغ
Description Message,رسالة الوصف
This message will be shown in shopping cart when subtotal after discount less than minimum amount.,هذه الرسالة سيتم عرضها في صفحة عربة التسوق عندما يكون اجمالي المبلغ بعد التخفيض أقل من الحد الأدني
Error to Show in Shopping Cart,الخطأ الذي سيتم إظهاره في سلة التسوق
Validate Each Address Separately in Multi-address Checkout,تحقق من كل عنوان على حدى في صفحة الدفع متعددة العناوين
Multi-address Description Message,رسالة الوصف الخاصة ب العناوين المتعددة
Multi-address Error to Show in Shopping Cart,الخطأ الذي سيتم إظهاره في سلة التسوق للعناوين المتعددة
"If empty, the default error above will be used.",إذا ترك فارغا رسالة الخطأ الإفتراضية في الأعلى سيتم استعمالها
Gift Options,خيارات الهدية
Minimum Advertised Price,السعر الأدنى المعلن عنه
Enable MAP,تفعيل خاصية السعر الأدنى المعلن عنه
Apply MAP (Default Value),تطبيق السعر الأدنى المعلن عنه (القيمة الإفتراضية)
Display Actual Price,عرض السعر الفعلي
Default Popup Text Message,نص الرسالة الخاص بالنافذة المنبثقة
"Default ""What's This"" Text Message","نص رسالة ""ما هذا"" الإفتراضية"
Send Invoice Email Copy Method,طريقة إرسال نسخة من رسالة الفاتورة
Send Invoice Comments Email Copy Method,طريقة إرسال نسخة من رسالة تعليقات الفاتورة
Send Credit Memo Email Copy Method,طريقة إرسال نسخة من رسالة إسترجاع المنتجات
Enable Onepage Checkout,تفعيل صفحة الدفع الواحدة
After Adding a Product Redirect to Shopping Cart,بعد إضافة المنتج الذهاب لصفحة سلة التسوق
Allow Shipping to Multiple Addresses,السماح بالشحن لعناوين متعددة
Maximum Qty Allowed for Shipping to Multiple Addresses,الحد الأقصى للكمية المسموح بها للشحن لعناوين متعددة
Dimensional Weight Attributes,سمات الوزن والأبعاد
Aramex Shipping Settings,إعدادات الشحن في أرامكس
SkyNet Shipping Settings,إعدادات الشحن في سكاي نت
Payment Services,خدمات الدفع
Admin Theme,قالب المشرف
Admin Theme Settings,إعدادات قالب المشرف
Current Admin Theme,القالب الحالي للمشرف
Startup Page,صفحة البدء
Enable Charts,تفعيل الرسوم البيانية
Login is Case Sensitive,تسجيل الدخول حساس لوضع الأحرف
Allow Magento Backend to run in frame,السماح للوحة تحكم ماجينتو في التشغيل ضمن إطار
Allow Magento Frontend to run in frame,السماح للواجهة الامامية لماجينتو في التشغيل ضمن إطار
Use Custom Admin URL,إستخدام رابط لوحة تحكم مخصصة
Use Custom Admin Path,إستخدام مسار لوحة تحكم مخصصة
Storage Configuration for Media,إعدادات التخزين لوسائل الإعلام
Media Storage,تخزين وسائل الإعلام
Scheduled Backup Settings,إعدادات جدولة النسخ الإحتياطي
Enable Scheduled Backup,تفعيل جدولة النسخ الإحتياطية
Escape CSV fields,تخطي حقول CSV
Disabling this setting can increase security risk.,تعطيل هذه الإعدادات يمكنه تزويد المخاطر الأمنية
External Full Page Cache Settings,إعدادات ذاكرة التخزين المؤقت للصفحة الكاملة للصفحة
Enable External Cache,تمكين ذاكرة التخزين المؤقت الخارجية
Update Frequency,تحديث متكرر
Last Update,أخر تحديث
Enable Log Cleaning,تفعيل مسح السجلات
"Save Log, Days","حفظ السجلات , أيام"
Enable Log,تفعيل السجلات
Log,السجل
Mail Sending Settings,إعدادات إرسال البريد
Disable Email Communications,تعطيل اتصالات البريد الإلكتروني
Enable Scheduler,تفعيل المهام المجدولة
Generate Schedules Every,إنشاء جدولة كل
Schedule Ahead for,الجدول الزمني ل
Success History Lifetime,تاريخ النجاح
Failure History Lifetime,تاريخ الفشل
Mark job as failed after,تحديد فشل الوظيفة بعد
Maximum job runtime,أقصى وقت للعمل
CSS Settings,إعدادات CSS
Merge CSS Files,دمج ملفات CSS
JavaScript Settings,إعدادات JavaScript
Merge JavaScript Files,دمج ملفات JavaScript
Keyboard Shortcut First,اختصار لوحة المفاتيح أولا
Keyboard Shortcut Second,اختصار لوحة المفاتيح الثانية
Keep empty to disable logging,البقاء فارغا لتعطيل التسجيل
Maximum number of successful schedules to keep,الحد الأقصى لعدد الجداول الزمنية الناجحة للاحتفاظ بها
"Enable ""run now""","تمكين ""التشغيل الآن"""
Enable Job Output Buffering,تمكين التخزين المؤقت للمهمة
Show cron user message,إظهار رسالة مستخدم cron
Run only if cache prefix id matches,لا يتم تشغيله إلا إذا تمت مطابقة معرف بادئة ذاكرة التخزين المؤقت
The customer doesn't exist in the system anymore,العميل غير موجود في النظام بعد الآن,
and,و,
"(Absolute path or Relative to Magento install root, ex. var/export)","(الطريق المطلقة او النسبيه لتثبيت جذور magento, مثلا. var/تصدير)",
(For US 2-letter state names),(للولايات المتحدة استخدام 2-حرف لأسماء المحافظات),
(If left empty will be auto-generated),(إذا تم تركه فارغًا سيتم إنشاؤه تلقائيًا),
(Leave empty for first spreadsheet),(اترك فارغًا لجدول البيانات الأول),
(Products will be added/updated to this store if 'store' column is blank or missing in the import file.),(سيتم إضافة / تحديث المنتجات في هذا المتجر اذا كان عامود 'المتجر' فارغ او مفقود في ملف الاستيراد.),
(Shift-)Click or drag to change value,(Shift-)اضغط أو اسحب لتغيير القيمة,
(Starting with),(يبدا ب),
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)",
(You have to increase php memory_limit before changing this value),يجب عليك زيادة حجم memory_limit قبل تغيير هذه القيمة,
(\t for tab),(\t لترك مسافة),
"* - If indexing is in progress, it will be killed and new indexing process will start",* - إذا كانت الفهرسة قيد التقدم ، فسيتم إلغاؤها وستبدأ عملية فهرسة جديدة,
- Click on any of the time parts to increase it,- انقر على أي جزء من أجزاء الوقت لزيادته,
- Hold mouse button on any of the above buttons for faster selection.,- ثبت زر الماوس على أي من الأزرار أعلاه لاختيار أسرع.,
- Use the %s buttons to select month,استخدم أزرار الـ  %s لاختيار الشهر,
"- Use the %s, %s buttons to select year","استخدم الـ %s, أزرار %s لاختيار السنة",
- or Shift-click to decrease it,أو اضغط على -Shift- لانقاصه,
- or click and drag for faster selection.,- أو انقر و اسحب لتحديد سريع,
-- Please Select --,-- فضلا اختار --,
-- Please select --,-- فضلا اختار --,
-- Please select a category --,--  فضلا اختار فئة  --,
--Please Select--,--فضلا اختار--,
1 Hour,1 ساعة,
12 Hours,12 ساعة,
12h AM/PM,12 ساعة صباحاً/ مساءً,
2 Hours,2 ساعة,
24 Hours,24 ساعة,
24h,24 ساعة,
2YTD,منذ سنتين,
6 Hours,6 ساعة,
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">خطأ رقم 404</h1><p>الصفحة غير موجودة</p>",
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">غير مسموح بالدخول</h1><p>غير مسموح بالدخول.</p>",
A new password was sent to your email address. Please check your email and click Back to Login.,لقد تم ارسال كلمة سر جديدة لعنوان بريدك. الرجاء التحقق من بريدك الالكتروني والنقر على الرجوع لتسجيل الدخول,
API Stability,API استقرار ال,
API Version,API نسخة ال,
API:,API:,
About the calendar,حول التقويم,
Access Denied.,الوصول ممنوع.,
Access Deny,الوصول ممنوع,
Account Created in:,أنشئ الحساب في:,
Account Created on (%s):,الحساب انشئ على (%s):,
Account Created on:,تم انشاء الحساب:,
Account Information,بيانات الحساب,
Account status,حالة الحساب,
Account successfully saved,تم حفظ الحساب بنجاح,
Action,عمل,
Actions,أعمال,
Actions XML,اعمال XML,
Active,فعال,
Add,إضافة,
Add Contents Path,اضافة مسار المحتويات,
Add Exception,اضافة استثناء,
Add Field Mapping,أضف حقل الخرائط,
Add Field with URL:,أضف حقل مع رابط URL,
Add Maintainer,إضافة مشرف,
Add New Image,إضافة صورة جديدة,
Add New Profile,إضافة بروفايل جديد,
Add New Role,إضافة دور جديد,
Add New Template,اضافة قالب جديد,
Add New Urlrewrite,إضافة اعادة كتابة عناوين جديدة,
Add New User,إضافة مستخدم جديد,
Add New osCommerce Profile,إضافة ملف شخصي جديد للـosCommerce,
Add PHP Extension dependency,إضافة الاعتماد لإضافة للـ php,
Add Package dependency,إضافة حزمة التابعة,
Add Subpackage dependency,إضافة حزمة فرعية تابعة,
Add Urlrewrite,إضافة اعادة توجيه الروابط,
Add Urlrewrite for a Category,إضافة اعادة توجيه الروابط للفئات,
Add Urlrewrite for a Product,إضافة اعادة توجيه الروابط للمنتجات,
Add after,أضف بعد,
Add new Role,إضافة دور جديد,
Add new store view map,اضافة خريطة لواجهة المتجر ,
Add new website map,إضافة خريطة للموقع,
Address Type:,نوع العنوان:,
Admin,الادارة,
Advanced Admin Section,قسم الإدارة المتقدمة,
Advanced Profiles,لمحات متقدمة,
Advanced Section,قسم متقدم,
Aggregate Order,الطلب الكلي,
All,الكل,
All Allowed Countries,جميع الدول المسموح بها,
All Cache,كل ذاكرة التخزين المؤقت,
All Files,جميع الملفات,
All Store Views,جميع واجهات المنتجر,
All Tags,كل الوسوم,
All Websites,جميع المواقع,
All countries,جميع البلدان,
All fields,جميع الحقول,
"All possible rates were fetched, click on ""Save"" to apply","تم جلب جميع المعدلات الممكنة  ، انقر على حفظ "" لتطبيق""",
"All rates were fetched, click on ""Save"" to apply","تم جلب جميع المعدلات  ، انقر على حفظ "" لتطبيق""",
All valid rates successfully saved,جميع الاسعار الصحيحة تم حفظها بنجاح,
Amounts,كمية,
Any,اي,
Any Attribute Set,اي مجموعة سمات,
Any Group,اي مجموعة,
Any Status,اي حالة,
Any Store,اي متجر,
Any Type,اي نوع,
Any Visibility,اي وضوحية,
Api Key,مفتاح Api,
Api Key Confirmation,تأكيد مفتاح واجهة برمجة التطبيقات,
Archive file name:,اسم ملف الأرشيف,
Are you sure that you want to delete this template?,هل انت متاكد انك تريد ان تحذف هذا القالب؟,
Are you sure that you want to strip tags?,هل أنت متأكد من أنك تريد شريط الوسوم,
Are you sure you want to do this?,هل انت متاكد انك تريد ان تفعل هذا؟,
Are you sure you wish to INSTALL all selected packages?,هل انت متأكد من انك ترغب في تثبيت جميع مجموعات مختارة؟,
Are you sure you wish to UNINSTALL all selected packages?,هل انت متأكد من انك تريد الغاء تثبيت جميع مجموعات مختارة؟,
Are you sure you wish to UPGRADE all selected packages?,هل انت متأكد من انك ترغب في تحديث جميع المجموعات مختارة؟,
Area,المنطقة,
Assigned,المحال,
Attribute Set Name:,اسم مجموعة السمات,
Attribute set successfully saved.,تم حفظ وضع الصفات بنجاح.,
Attribute set was successfully removed.,تم حذف وضع الصفات بنجاح.,
Attributes,الصفات,
Available Products,المنتجات المتاحة,
Available Version,النسخة المتاحة,
Average Order Amount,متوسط كمية الطلب,
Average Orders,متوسط طلبات الشراء,
Back,عودة,
Back to Login,العودة لتسجيل الدخول,
Back to local packages,عودة الى الحزمة الاصلية,
Backup,نسخ احتياطية,
Backup record was deleted,تم حذف النسخة الاحتياطية,
Backup successfully created,تم إنشاء النسخة الإحتياطية بنجاح,
Backups,النسخ الإحتياطية,
Base currency,العملة الاساسية,
Bcc,ارسال رسالة مخفية,
Bestsellers,الأكثر مبيعاً,
Big Image,صورة كبيرة,
Billing Address,عنوان الفاتورة,
Billing address,عنوان الفاتورة,
Block Information,حجب المعلومه,
Both (without and with tax),على حد سواء (بدون ومع الضريبة),
Browse Available Extensions,استعراض التحويلات المتاحة,
Browse Available Remote Extensions,استعراض الإضافات البعيدة المتاحة,
Browse Files...,استعراض ملفات...,
Bundle Items,حزمة منتجات,
Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.,لا يمكن أن تتضمن الحزمة ذات التسعير الديناميكي خيارات محددة مخصصة. لن يتم حفظ الخيارات.,
CRITICAL,الحرجة,
CSV,CSV,
CSV / Tab separated,ملف CSV حسب المساحة الفارغة,
Cache Control,التحكم بالذاكرة الداخلية المؤقتة,
Cache Control (beta),التحكم بالذاكرة الداخلية المؤقتة,
Cache Management,إدارة الذاكرة الداخلية المؤقتة,
Can not add new comment.,لا تستطيع إضافة تعليق جديد,
Can not add tracking number.,لا تستطيع إضافة رقم تتبع للشحنات.,
Can not delete tracking number.,لا تستطيع حذف رقم تتبع للشحنات.,
Can not do credit memo for order,لا تستطيع عمل ذاكرة إئتمانية لإرجاع للطلبية,
Can not do invoice for order,لا تستطيع أن تعمل فاتورة للطلب,
Can not do shipment for order.,لا يمكن تهيئة شحنة لإضافة تتبع شحن,
Can not initialize shipment for adding tracking number.,لا يمكن تهيئة شحنة لإضافة تتبع شحن,
Can not initialize shipment for delete tracking number.,لا يمكن تهيئة شحنة لحذف تتابع رقمي,
Can not load track with retrieving identifier.,لا يمكن تحميل المسار مع استرداد المعرف.,
Can not retrieve tracking number detail.,لا يمكن استرداد تتبع عدد من التفصيل.,
Can not save credit memo,لا يمكن حفظ إرجاع الطلبية,
Can not save invoice,لا يمكن حفظ الفاتورة,
Can not save shipment.,لا يمكن حفظ الشحنة.,
Can not send shipment information.,لايمكن ارسال معلوامات السحنة,
Can not update item qty,لايمكن تحديث كمية العناصر,
Can't delete design change,لا يمكن حذف تغيرات التصميم,
Can't find email address.,لا يمكن العثور على عنوان بريد الكتروني.,
Cancel,إلغاء,
Card Verification Number,رقم بطاقة التحقيق,
Catalog,دليل,
Catalog Rewrites,إعادة كتابة الدليل,
Catalog Rewrites was refreshed successfully,تم تحديث إعادة الكتابة للكتالوج بنجاح,
Catalog Rewrites were refreshed successfully,تحديث إعادة الكتابة للكتالوج ناجحة,
CatalogInventory Stock Status rebuild error. Please try again later,خطأ في إعادة بناء حالة دليل المخزون . الرجاء المحاولة مرة أخرى لاحقاً,
CatalogInventory Stock Status was rebuilt successfully,تمت إعادة بناء مستودع مخزون الكتالوج بنجاح,
Category,فئة,
Category:,الفئة,
Changelog,سجل التغير,
Channel,قناة,
Channel:,قناة:,
Checkbox,مربع الخيار,
Choose Store View,اختر واجهة المتجر,
Choose an attribute,اختيار السمة,
Clear,مسح,
Close,إغلاق,
Comment text field can not be empty.,حقل التعليقات النصي لايجب أن يكون فارغ.,
Comments History,تاريخ التعليقات,
Complete,مكتمل,
Configuration,الإعدادت,
Configuration successfully saved,تم حفظ الإعدادت بنجاح,
Confirmed email:,تأكيد البريد الإلكتروني:,
Conflicts,النزاعات,
Connect with the Magento Community,Magento التواصل مع مجتمع,
Contents,محتويات,
Convert to Plain Text,تحويل الى نص عادي,
Cookie (Unsafe),Cookie (غير مامونه),
Country,بلد,
Country:,بلد:,
Coupon Code,رمز القسيمة,
Coupons,القسائم,
Create,انشاء,
Create DB Backup,انشاء نسخة احتياطية لقاعدة البيانات,
Create Extension Package,إنشاء حزمة من الملحقات,
Create New Attribute,انشاء سمة جديدة,
Create New Staging Store View,إنشاء واجهة متجر جديدة,
Create Urlrewrite:,إنشاء إعادة كتابة رابط:,
Create a backup,إنشاء نسخة إحتياطية,
Created <strong>%s</strong> items,إنشاء <strong>%s</strong> عناصر,
Created At,انشئة في,
Credit Card Number,رقم بطاقة الائتمان,
Credit Card Number: xxxx-%s,رقم بطاقة الائتمان: xxxx-%s,
Credit Card Type,نوع بطاقة الائتمان,
Credit Card Type: %s,نوع بطاقة الائتمان: %s,
Credit Memo #%s comment added,مذكرة ائتمانية  #%s اضافة تعليق,
Credit Memo #%s created,تم انشاء المذكرة الإئتمانية #%s,
Credit Memo History,تاريخ المذكرة الائتمانية,
Credit Memo Totals,مجموع المذكرة الاتمانية,
Credit Memo cancel error.,خطأ إلغاء إعادة الطلبية.,
Credit Memo total must be positive.,يجب أن يكون مجموع إعادة الطلبية موجب,
Credit Memo void error,إعادة الطلبية باطلة,
Credit Memo was successfully canceled.,.تم إلغاء اعادة الطلبية بنجاح,
Credit Memo was successfully created,تم إنشاء المذكرة الائتمانية بنجاح,
Credit Memo was successfully voided,لقد تم ابطال المذكرة الائتمانية بنجاح,
Currency,العملة,
Currency Information,معلومات العملة,
Currency Setup Section,قسم إعدادات العملة,
Current Configuration Scope:,التشكيل الحالي لنطاق:,
Current Release Information,نسخة المعلومات الحالية,
Custom,مخصص,
Customer,العميل,
Customer Group:,مجموعة العملاء:,
Customer Name,اسم العميل,
Customer Since:,عميل منذ:,
Customer was deleted,لقد تم حذف العميل,
Customer was successfully saved,تم حفظ العميل بنجاح,
Customer with the same email already exists.,يوجد مستخدم بنفس البريد الإلكتروني سابقاً,
Customers,عملاء,
DHTML Date/Time Selector,DHTML تاريخ  الوقت المحدد,
Dashboard,لوحة العدادات,
Data Format,بنية البيانات,
Data transfer:,نقل البيانات:,
Date,تاريخ,
Date & Time,الوقت والتاريخ,
Date Added,اضافة تاريخ,
Date Updated,تحديث التاريخ,
Date selection:,اختر التاريخ:,
Date selector,تاريخ محدد,
Date:,تاريخ:,
Day,اليوم,
Decimal separator:,الفاصلة العشرية:,
Default (Admin) Values,قيم (الادارة) افتراضية,
Default Config,اعداد افتراضي,
Default Template from Locale,القالب الافتراضي من الموقع,
Default Values,قيم افتراضية,
"Default display currency ""%s"" is not available in allowed currencies","العرض الإفتراضي للعملة ""%s"" غير متوفر في العملات المسموحة",
Default scope,نطاق افتراضي,
Delete,حذف,
Delete %s,حذف %s,
Delete %s '%s',حذف %s %s,
Delete Profile,حذف البروفايل,
Delete Role,حذف الدور,
Delete Store View,حذف واجهة المتجر بهذه اللغة,
Delete Template,حذف القالب,
Delete User,حذف المستخدم,
Delete Website,حذف الموقع,
Dependencies,توابع,
Description,الوصف,
Description:,الوصف:,
Design,تصميم,
Design Section,قسم التصميم,
Design change deleted,تم حذف التغييرات,
Design change saved,تم حفظ التغييرات,
Developer Section,قسم التطوير,
Direction:,اتجاه:,
Disable,تعطيل,
Disabled,معطل,
Discount Amount,تخفيض على الكمية,
Display %s first,عرض%s الأول,
Display default currency,عرض العملة الافتراضية,
Distributed under GNU LGPL. See %s for details.,توزع تحت GNU LGPL. اظهار %s للتفاصيل,
Do you really want to KILL parallel process and start new indexing process?,؟هل أنت متأكد من إنهاء العملية الموازية و بدأ عملية فهرسة جديدة,
Done By:,تم بواسطة:,
Done by:,تم بواسطة:,
Download Remote File,بعد تنزيل الملف,
Download and Install,تحميل و تثبيت,
"Downloading and installing $pkg, please wait...","تنزيل وتركيب $pkg, رجاء انتظر...",
Drag to move,اسحب للنقل,
Drop-down,المنسدلة,
Edit,تعديل,
Edit Email Template,تعديل قالب البريد الالكتروني,
Edit Poll,تعديل التصويت,
Edit Role,تعديل الدور,
Edit Store View,تعديل عرض المخزون,
Edit System Template,تعديل قالب النظام,
Edit Tag,تعديل الوسم,
Edit Template,تعديل قالب,
Edit Urlrewrite,تعديل اعادة كتابة العنوان,
Edit User,تعديل مستخدم,
Edit User '%s',تعديل المستخدم '%s',
Edit Website,تعديل موقع,
Email,البريد الالكتروني,
Email Address:,عنوان البريد الالكتروني:,
Email Preview,عرض البريد الإلكتروني,
Email address is empty.,عنوان البريد الالكتروني فارغا.,
Email to a Friend,أرسل إلى صديق,
Email:,البريد الالكتروني:,
Enable,فعّل,
Enabled,تفعيل,
Enclose Values In:,أرفق القيم في :,
Entity Type,نوع العنصر,
Entity type:,نوع العنصر :,
Error uploading the file,خطأ في تحميل الملف,
Error while cleared Image cache. Please try again later,خطأ عند حذف الذاكرة المخبأة للصورة . الرجاء حاول مرة أخرى,
Error while create backup. Please try again later,خطأ عند إنشاء النسخة الإحتياطية. الرجاء حاول لاحقاً,
Error while deleting this role. Please try again later.,خطأ في حذف هذه الوظيفة. الرجاء المحاولة لاحقاً,
Error while deleting this set.,خطأ أثناء حذف هذه المجموعة.,
Error while finished process. Please refresh cache,خطأ عند اكمال العملية. الرجاء تحديث الخابية,
Error while refreshed Catalog Rewrites. Please try again later,خطأ أثناء تحديث دليل إعادة الكتابة. يرجى المحاولة مرة أخرى في وقت لاحقاً,
Error while refreshed Layered Navigation Indices. Please try again later,خطأ أثناء تحديث الطبقات مؤشرات التنقل. يرجى المحاولة مرة أخرى في وقت لاحق,
